IndexNumber,FirstDateOfWeek,LastDateOfWeek,MMWRweek,MMWRyear,Disease,Cases
1597,2020-11-22,2020-11-28,48,2020,Childhood lead poisoning,3
1598,2020-11-22,2020-11-28,48,2020,CRE,2
1599,2020-11-22,2020-11-28,48,2020,Cryptosporidiosis,1
1600,2020-11-22,2020-11-28,48,2020,Giardiasis,4
1601,2020-11-22,2020-11-28,48,2020,HIV,1
1602,2020-11-22,2020-11-28,48,2020,Legionellosis,3
1603,2020-11-22,2020-11-28,48,2020,Mumps,0
1604,2020-11-22,2020-11-28,48,2020,Yersiniosis,0
1605,2020-11-29,2020-12-05,49,2020,CRE,2
1606,2020-11-29,2020-12-05,49,2020,Extrapulmonary NTM,1
1607,2020-11-29,2020-12-05,49,2020,Giardiasis,1
1608,2020-11-29,2020-12-05,49,2020,Hepatitis B (acute),0
1609,2020-11-29,2020-12-05,49,2020,HIV,2
1610,2020-11-29,2020-12-05,49,2020,Legionellosis,2
1611,2020-11-29,2020-12-05,49,2020,Mpox,0
1612,2020-11-29,2020-12-05,49,2020,Pertussis,0
1613,2020-12-06,2020-12-12,50,2020,Extrapulmonary NTM,0
1614,2020-12-06,2020-12-12,50,2020,Hepatitis B (acute),1
1615,2020-12-06,2020-12-12,50,2020,HIV,4
1616,2020-12-06,2020-12-12,50,2020,Mpox,0
1617,2020-12-06,2020-12-12,50,2020,Pertussis,0
1618,2020-12-06,2020-12-12,50,2020,Pesticide Poisoning,3
1619,2020-12-13,2020-12-19,51,2020,E. coli (STEC),2
1620,2020-12-13,2020-12-19,51,2020,Haemophilus influenzae,0
1621,2020-12-13,2020-12-19,51,2020,Pesticide Poisoning,2
1622,2020-12-13,2020-12-19,51,2020,Vibriosis,0
1623,2020-12-20,2020-12-26,52,2020,Adult lead poisoning,1
1624,2020-09-27,2020-10-03,40,2020,Gonorrhea,234
1625,2020-09-27,2020-10-03,40,2020,Hepatitis A,0
1626,2020-09-27,2020-10-03,40,2020,Hepatitis C (chronic),59
1627,2020-09-27,2020-10-03,40,2020,HUS,1
1628,2020-09-27,2020-10-03,40,2020,Listeriosis,0
1629,2020-09-27,2020-10-03,40,2020,Malaria,0
1630,2020-09-27,2020-10-03,40,2020,Measles,0
1631,2020-09-27,2020-10-03,40,2020,Yersiniosis,0
1632,2020-10-04,2020-10-10,41,2020,Campylobacteriosis,12
1633,2020-10-04,2020-10-10,41,2020,Childhood lead poisoning,3
1634,2020-10-04,2020-10-10,41,2020,Chlamydia,350
1635,2020-10-04,2020-10-10,41,2020,Cryptosporidiosis,2
1636,2020-10-04,2020-10-10,41,2020,Early syphilis,21
1637,2020-10-04,2020-10-10,41,2020,Gonorrhea,135
1638,2020-10-04,2020-10-10,41,2020,Hepatitis A,0
1639,2020-10-04,2020-10-10,41,2020,Hepatitis C (chronic),64
1640,2020-10-04,2020-10-10,41,2020,Listeriosis,0
1641,2020-10-04,2020-10-10,41,2020,Malaria,0
1642,2020-10-04,2020-10-10,41,2020,Measles,0
1643,2020-10-04,2020-10-10,41,2020,Mumps,1
1644,2020-10-04,2020-10-10,41,2020,Yersiniosis,2
1645,2020-10-11,2020-10-17,42,2020,Childhood lead poisoning,0
1646,2020-10-11,2020-10-17,42,2020,CRE,3
1647,2020-10-11,2020-10-17,42,2020,Cryptosporidiosis,2
1648,2020-10-11,2020-10-17,42,2020,Giardiasis,6
1649,2020-10-11,2020-10-17,42,2020,Hepatitis A,0
1650,2020-10-11,2020-10-17,42,2020,Legionellosis,3
1651,2020-10-11,2020-10-17,42,2020,Mumps,0
1652,2020-10-11,2020-10-17,42,2020,Yersiniosis,1
1653,2020-10-18,2020-10-24,43,2020,CRE,2
1654,2020-10-18,2020-10-24,43,2020,Cryptosporidiosis,3
1655,2020-10-18,2020-10-24,43,2020,Extrapulmonary NTM,0
1656,2020-10-18,2020-10-24,43,2020,Giardiasis,7
1657,2020-10-18,2020-10-24,43,2020,Hepatitis B (acute),0
1658,2020-10-18,2020-10-24,43,2020,HIV,2
1659,2020-10-18,2020-10-24,43,2020,Legionellosis,0
1660,2020-10-18,2020-10-24,43,2020,Mpox,0
1661,2020-10-18,2020-10-24,43,2020,Pertussis,0
1662,2020-10-25,2020-10-31,44,2020,Extrapulmonary NTM,1
1663,2020-10-25,2020-10-31,44,2020,Hepatitis B (acute),0
1664,2020-10-25,2020-10-31,44,2020,HIV,4
1665,2020-10-25,2020-10-31,44,2020,Legionellosis,0
1666,2020-10-25,2020-10-31,44,2020,Mpox,0
1667,2020-10-25,2020-10-31,44,2020,Pertussis,0
1668,2020-10-25,2020-10-31,44,2020,Pesticide Poisoning,2
1669,2020-11-01,2020-11-07,45,2020,Extrapulmonary NTM,0
1670,2020-11-01,2020-11-07,45,2020,Hepatitis B (acute),0
1671,2020-11-01,2020-11-07,45,2020,Mpox,0
1672,2020-11-01,2020-11-07,45,2020,Pertussis,0
1673,2020-11-01,2020-11-07,45,2020,Pesticide Poisoning,2
1674,2020-11-01,2020-11-07,45,2020,Vibriosis,0
1675,2020-11-08,2020-11-14,46,2020,Coccidioidomycosis,4
1676,2020-12-20,2020-12-26,52,2020,Coccidioidomycosis,0
1677,2020-12-20,2020-12-26,52,2020,E. coli (STEC),0
1678,2020-12-20,2020-12-26,52,2020,Haemophilus influenzae,1
1679,2020-12-20,2020-12-26,52,2020,Pesticide Poisoning,0
1680,2020-12-20,2020-12-26,52,2020,Tuberculosis,2
1681,2020-12-20,2020-12-26,52,2020,Vibriosis,1
1682,2020-12-27,2021-01-02,53,2020,Adult lead poisoning,2
1683,2020-12-27,2021-01-02,53,2020,Coccidioidomycosis,0
1684,2020-12-27,2021-01-02,53,2020,Cryptococcosis,3
1685,2020-12-27,2021-01-02,53,2020,E. coli (STEC),2
1686,2020-12-27,2021-01-02,53,2020,Haemophilus influenzae,1
1687,2020-12-27,2021-01-02,53,2020,Hepatitis B (chronic),13
1688,2020-12-27,2021-01-02,53,2020,Hepatitis C (acute),0
1689,2020-12-27,2021-01-02,53,2020,Lyme disease,0
1690,2020-12-27,2021-01-02,53,2020,Meningococcal disease,0
1691,2020-12-27,2021-01-02,53,2020,Salmonellosis,4
1692,2020-12-27,2021-01-02,53,2020,Tuberculosis,0
1693,2020-12-27,2021-01-02,53,2020,West Nile virus,0
1694,2021-01-03,2021-01-09,1,2021,Campylobacteriosis,13
1695,2021-01-03,2021-01-09,1,2021,Chlamydia,295
1696,2021-01-03,2021-01-09,1,2021,Congenital syphilis,0
1697,2021-01-03,2021-01-09,1,2021,Early syphilis,21
1698,2021-01-03,2021-01-09,1,2021,Gonorrhea,110
1699,2021-01-03,2021-01-09,1,2021,Hepatitis C (chronic),90
1700,2021-01-03,2021-01-09,1,2021,HUS,1
1701,2021-01-03,2021-01-09,1,2021,Listeriosis,0
1702,2021-01-03,2021-01-09,1,2021,Malaria,0
1703,2021-01-03,2021-01-09,1,2021,Measles,0
1704,2021-01-10,2021-01-16,2,2021,Campylobacteriosis,13
1705,2021-01-10,2021-01-16,2,2021,Childhood lead poisoning,3
1706,2021-01-10,2021-01-16,2,2021,Chlamydia,362
1707,2021-01-10,2021-01-16,2,2021,Congenital syphilis,0
1708,2021-01-10,2021-01-16,2,2021,Early syphilis,17
1709,2021-01-10,2021-01-16,2,2021,Gonorrhea,107
1710,2021-01-10,2021-01-16,2,2021,Hepatitis A,0
1711,2021-01-10,2021-01-16,2,2021,Hepatitis C (chronic),105
1712,2021-01-10,2021-01-16,2,2021,HUS,0
1713,2021-01-10,2021-01-16,2,2021,Listeriosis,0
1714,2021-01-10,2021-01-16,2,2021,Malaria,0
1715,2021-01-10,2021-01-16,2,2021,Measles,0
1716,2021-01-10,2021-01-16,2,2021,Mumps,0
1717,2021-01-10,2021-01-16,2,2021,Yersiniosis,3
1718,2021-01-17,2021-01-23,3,2021,Campylobacteriosis,18
1719,2021-01-17,2021-01-23,3,2021,Childhood lead poisoning,0
1720,2021-01-17,2021-01-23,3,2021,CRE,4
1721,2021-01-17,2021-01-23,3,2021,Cryptosporidiosis,3
1722,2021-01-17,2021-01-23,3,2021,Giardiasis,6
1723,2021-01-17,2021-01-23,3,2021,Gonorrhea,106
1724,2021-01-17,2021-01-23,3,2021,Hepatitis A,2
1725,2021-01-17,2021-01-23,3,2021,Legionellosis,2
1726,2020-11-08,2020-11-14,46,2020,Adult lead poisoning,1
1727,2020-11-08,2020-11-14,46,2020,Cryptosporidiosis,0
1728,2020-11-08,2020-11-14,46,2020,Hepatitis B (acute),0
1729,2020-11-08,2020-11-14,46,2020,Hepatitis B (chronic),3
1730,2020-11-08,2020-11-14,46,2020,Hepatitis C (acute),1
1731,2020-11-08,2020-11-14,46,2020,Legionellosis,2
1732,2020-11-08,2020-11-14,46,2020,Lyme disease,1
1733,2020-11-08,2020-11-14,46,2020,Meningococcal disease,0
1734,2020-11-08,2020-11-14,46,2020,Mpox,0
1735,2020-11-08,2020-11-14,46,2020,Pertussis,0
1736,2020-11-08,2020-11-14,46,2020,Shigellosis,6
1737,2020-11-08,2020-11-14,46,2020,West Nile virus,0
1738,2020-11-15,2020-11-21,47,2020,Chlamydia,309
1739,2020-11-15,2020-11-21,47,2020,Early syphilis,24
1740,2020-11-15,2020-11-21,47,2020,Extrapulmonary NTM,1
1741,2020-11-15,2020-11-21,47,2020,Hepatitis C (chronic),54
1742,2020-11-15,2020-11-21,47,2020,HIV,8
1743,2020-11-15,2020-11-21,47,2020,Malaria,0
1744,2020-11-15,2020-11-21,47,2020,Measles,0
1745,2020-11-22,2020-11-28,48,2020,Congenital syphilis,0
1746,2020-11-22,2020-11-28,48,2020,E. coli (STEC),3
1747,2020-11-22,2020-11-28,48,2020,Gonorrhea,104
1748,2020-11-22,2020-11-28,48,2020,Hepatitis A,0
1749,2020-11-22,2020-11-28,48,2020,Hepatitis B (acute),0
1750,2020-11-22,2020-11-28,48,2020,HUS,0
1751,2020-11-22,2020-11-28,48,2020,Listeriosis,0
1752,2020-11-22,2020-11-28,48,2020,Mpox,0
1753,2020-11-22,2020-11-28,48,2020,Pertussis,0
1754,2020-11-22,2020-11-28,48,2020,Pesticide Poisoning,0
1755,2020-11-22,2020-11-28,48,2020,Vibriosis,0
1756,2020-11-29,2020-12-05,49,2020,Campylobacteriosis,4
1757,2020-11-29,2020-12-05,49,2020,Childhood lead poisoning,3
1758,2020-11-29,2020-12-05,49,2020,Chlamydia,293
1759,2020-11-29,2020-12-05,49,2020,Cryptosporidiosis,2
1760,2020-11-29,2020-12-05,49,2020,Early syphilis,9
1761,2020-11-29,2020-12-05,49,2020,Haemophilus influenzae,1
1762,2020-11-29,2020-12-05,49,2020,Hepatitis C (chronic),37
1763,2020-11-29,2020-12-05,49,2020,Malaria,0
1764,2020-11-29,2020-12-05,49,2020,Measles,0
1765,2020-12-06,2020-12-12,50,2020,Coccidioidomycosis,1
1766,2020-12-06,2020-12-12,50,2020,CRE,2
1767,2020-12-06,2020-12-12,50,2020,Cryptococcosis,0
1768,2020-12-06,2020-12-12,50,2020,E. coli (STEC),2
1769,2020-12-06,2020-12-12,50,2020,Giardiasis,3
1770,2020-12-06,2020-12-12,50,2020,Gonorrhea,119
1771,2020-12-06,2020-12-12,50,2020,Hepatitis A,0
1772,2020-12-06,2020-12-12,50,2020,Mumps,0
1773,2020-12-06,2020-12-12,50,2020,Salmonellosis,4
1774,2020-12-06,2020-12-12,50,2020,Tuberculosis,0
1775,2020-12-06,2020-12-12,50,2020,Vibriosis,0
1776,2020-12-06,2020-12-12,50,2020,Yersiniosis,0
1777,2020-11-01,2020-11-07,45,2020,Adult lead poisoning,0
1778,2020-11-01,2020-11-07,45,2020,Childhood lead poisoning,3
1779,2020-11-01,2020-11-07,45,2020,Cryptosporidiosis,2
1780,2020-11-01,2020-11-07,45,2020,Haemophilus influenzae,0
1781,2020-11-01,2020-11-07,45,2020,Hepatitis B (chronic),2
1782,2020-11-01,2020-11-07,45,2020,Hepatitis C (acute),1
1783,2020-11-01,2020-11-07,45,2020,Legionellosis,0
1784,2020-11-01,2020-11-07,45,2020,Lyme disease,1
1785,2020-11-01,2020-11-07,45,2020,Meningococcal disease,0
1786,2020-11-01,2020-11-07,45,2020,Shigellosis,0
1787,2020-11-01,2020-11-07,45,2020,West Nile virus,0
1788,2020-11-08,2020-11-14,46,2020,CRE,2
1789,2020-11-08,2020-11-14,46,2020,Cryptococcosis,1
1790,2020-11-08,2020-11-14,46,2020,Extrapulmonary NTM,0
1791,2020-11-08,2020-11-14,46,2020,Giardiasis,4
1792,2020-11-08,2020-11-14,46,2020,HIV,7
1793,2020-11-08,2020-11-14,46,2020,Salmonellosis,9
1794,2020-11-08,2020-11-14,46,2020,Tuberculosis,1
1795,2020-11-15,2020-11-21,47,2020,Congenital syphilis,0
1796,2020-11-15,2020-11-21,47,2020,Hepatitis B (acute),0
1797,2020-11-15,2020-11-21,47,2020,Hepatitis B (chronic),5
1798,2020-11-15,2020-11-21,47,2020,Hepatitis C (acute),0
1799,2020-11-15,2020-11-21,47,2020,HUS,0
1800,2020-11-15,2020-11-21,47,2020,Listeriosis,3
1801,2020-11-15,2020-11-21,47,2020,Meningococcal disease,0
1802,2020-11-15,2020-11-21,47,2020,Mpox,0
1803,2020-11-15,2020-11-21,47,2020,Pertussis,0
1804,2020-11-15,2020-11-21,47,2020,Pesticide Poisoning,1
1805,2020-11-15,2020-11-21,47,2020,Shigellosis,2
1806,2020-11-22,2020-11-28,48,2020,Campylobacteriosis,17
1807,2020-11-22,2020-11-28,48,2020,Chlamydia,271
1808,2020-11-22,2020-11-28,48,2020,Early syphilis,23
1809,2020-11-22,2020-11-28,48,2020,Extrapulmonary NTM,1
1810,2020-11-22,2020-11-28,48,2020,Haemophilus influenzae,1
1811,2020-11-22,2020-11-28,48,2020,Hepatitis C (chronic),34
1812,2020-11-22,2020-11-28,48,2020,Malaria,0
1813,2020-11-22,2020-11-28,48,2020,Measles,0
1814,2020-11-29,2020-12-05,49,2020,Coccidioidomycosis,0
1815,2020-11-29,2020-12-05,49,2020,Congenital syphilis,1
1816,2020-11-29,2020-12-05,49,2020,E. coli (STEC),4
1817,2020-11-29,2020-12-05,49,2020,Gonorrhea,135
1818,2020-11-29,2020-12-05,49,2020,Hepatitis A,0
1819,2020-11-29,2020-12-05,49,2020,Listeriosis,0
1820,2020-11-29,2020-12-05,49,2020,Mumps,0
1821,2020-11-29,2020-12-05,49,2020,Pesticide Poisoning,1
1822,2020-11-29,2020-12-05,49,2020,Vibriosis,0
1823,2020-11-29,2020-12-05,49,2020,Yersiniosis,0
1824,2020-12-06,2020-12-12,50,2020,Adult lead poisoning,1
1825,2020-12-06,2020-12-12,50,2020,Childhood lead poisoning,3
1826,2020-12-06,2020-12-12,50,2020,Cryptosporidiosis,1
1827,2021-01-17,2021-01-23,3,2021,Mumps,0
1828,2021-01-17,2021-01-23,3,2021,Yersiniosis,2
1829,2021-01-24,2021-01-30,4,2021,Childhood lead poisoning,3
1830,2021-01-24,2021-01-30,4,2021,CRE,5
1831,2021-01-24,2021-01-30,4,2021,Cryptosporidiosis,2
1832,2021-01-24,2021-01-30,4,2021,Giardiasis,2
1833,2021-01-24,2021-01-30,4,2021,HIV,1
1834,2021-01-24,2021-01-30,4,2021,Legionellosis,1
1835,2021-01-24,2021-01-30,4,2021,Mumps,0
1836,2021-01-24,2021-01-30,4,2021,Yersiniosis,3
1837,2021-01-31,2021-02-06,5,2021,CRE,3
1838,2021-01-31,2021-02-06,5,2021,Extrapulmonary NTM,1
1839,2021-01-31,2021-02-06,5,2021,Giardiasis,3
1840,2021-01-31,2021-02-06,5,2021,Hepatitis B (acute),1
1841,2021-01-31,2021-02-06,5,2021,HIV,6
1842,2021-01-31,2021-02-06,5,2021,Legionellosis,2
1843,2021-01-31,2021-02-06,5,2021,Mpox,0
1844,2021-01-31,2021-02-06,5,2021,Pertussis,0
1845,2021-02-07,2021-02-13,6,2021,Extrapulmonary NTM,2
1846,2021-02-07,2021-02-13,6,2021,Hepatitis B (acute),1
1847,2021-02-07,2021-02-13,6,2021,HIV,2
1848,2021-02-07,2021-02-13,6,2021,Mpox,0
1849,2021-02-07,2021-02-13,6,2021,Pertussis,0
1850,2021-02-07,2021-02-13,6,2021,Pesticide Poisoning,1
1851,2021-02-14,2021-02-20,7,2021,E. coli (STEC),1
1852,2021-02-14,2021-02-20,7,2021,Haemophilus influenzae,1
1853,2021-02-14,2021-02-20,7,2021,Pesticide Poisoning,0
1854,2021-02-14,2021-02-20,7,2021,Vibriosis,1
1855,2021-02-21,2021-02-27,8,2021,Adult lead poisoning,1
1856,2021-02-21,2021-02-27,8,2021,Coccidioidomycosis,1
1857,2021-02-21,2021-02-27,8,2021,E. coli (STEC),2
1858,2021-02-21,2021-02-27,8,2021,Haemophilus influenzae,1
1859,2021-02-21,2021-02-27,8,2021,Pesticide Poisoning,7
1860,2021-02-21,2021-02-27,8,2021,Tuberculosis,1
1861,2021-02-21,2021-02-27,8,2021,Vibriosis,0
1862,2021-02-28,2021-03-06,9,2021,Adult lead poisoning,0
1863,2021-02-28,2021-03-06,9,2021,Coccidioidomycosis,1
1864,2021-02-28,2021-03-06,9,2021,Cryptococcosis,1
1865,2021-02-28,2021-03-06,9,2021,E. coli (STEC),0
1866,2021-02-28,2021-03-06,9,2021,Haemophilus influenzae,1
1867,2021-02-28,2021-03-06,9,2021,Hepatitis B (chronic),3
1868,2021-02-28,2021-03-06,9,2021,Hepatitis C (acute),0
1869,2021-02-28,2021-03-06,9,2021,Lyme disease,1
1870,2021-02-28,2021-03-06,9,2021,Meningococcal disease,0
1871,2021-02-28,2021-03-06,9,2021,Salmonellosis,6
1872,2021-02-28,2021-03-06,9,2021,Shigellosis,4
1873,2021-02-28,2021-03-06,9,2021,Tuberculosis,0
1874,2021-02-28,2021-03-06,9,2021,West Nile virus,0
1875,2021-03-07,2021-03-13,10,2021,Adult lead poisoning,1
1876,2021-03-07,2021-03-13,10,2021,Cryptococcosis,1
1877,2021-03-07,2021-03-13,10,2021,Hepatitis B (chronic),10
1878,2020-12-13,2020-12-19,51,2020,Adult lead poisoning,4
1879,2020-12-13,2020-12-19,51,2020,Childhood lead poisoning,3
1880,2020-12-13,2020-12-19,51,2020,Cryptosporidiosis,0
1881,2020-12-13,2020-12-19,51,2020,Hepatitis B (acute),0
1882,2020-12-13,2020-12-19,51,2020,Hepatitis B (chronic),4
1883,2020-12-13,2020-12-19,51,2020,Hepatitis C (acute),0
1884,2020-12-13,2020-12-19,51,2020,Legionellosis,2
1885,2020-12-13,2020-12-19,51,2020,Lyme disease,0
1886,2020-12-13,2020-12-19,51,2020,Meningococcal disease,0
1887,2020-12-13,2020-12-19,51,2020,Mpox,0
1888,2020-12-13,2020-12-19,51,2020,Pertussis,0
1889,2020-12-13,2020-12-19,51,2020,Shigellosis,3
1890,2020-12-13,2020-12-19,51,2020,West Nile virus,0
1891,2020-12-20,2020-12-26,52,2020,CRE,1
1892,2020-12-20,2020-12-26,52,2020,Cryptococcosis,1
1893,2020-12-20,2020-12-26,52,2020,Extrapulmonary NTM,2
1894,2020-12-20,2020-12-26,52,2020,Giardiasis,4
1895,2020-12-20,2020-12-26,52,2020,HIV,1
1896,2020-12-20,2020-12-26,52,2020,Salmonellosis,5
1897,2020-12-27,2021-01-02,53,2020,Congenital syphilis,1
1898,2020-12-27,2021-01-02,53,2020,Gonorrhea,107
1899,2020-12-27,2021-01-02,53,2020,Hepatitis B (acute),0
1900,2020-12-27,2021-01-02,53,2020,HUS,1
1901,2020-12-27,2021-01-02,53,2020,Listeriosis,0
1902,2020-12-27,2021-01-02,53,2020,Mpox,0
1903,2020-12-27,2021-01-02,53,2020,Pertussis,0
1904,2020-12-27,2021-01-02,53,2020,Pesticide Poisoning,2
1905,2020-12-27,2021-01-02,53,2020,Shigellosis,6
1906,2020-12-27,2021-01-02,53,2020,Vibriosis,0
1907,2021-01-03,2021-01-09,1,2021,Adult lead poisoning,0
1908,2021-01-03,2021-01-09,1,2021,Childhood lead poisoning,3
1909,2021-01-03,2021-01-09,1,2021,Cryptosporidiosis,4
1910,2021-01-03,2021-01-09,1,2021,Hepatitis B (chronic),8
1911,2021-01-03,2021-01-09,1,2021,Hepatitis C (acute),0
1912,2021-01-03,2021-01-09,1,2021,Legionellosis,4
1913,2021-01-03,2021-01-09,1,2021,Lyme disease,0
1914,2021-01-03,2021-01-09,1,2021,Meningococcal disease,0
1915,2021-01-03,2021-01-09,1,2021,Shigellosis,3
1916,2021-01-03,2021-01-09,1,2021,West Nile virus,0
1917,2021-01-10,2021-01-16,2,2021,CRE,9
1918,2021-01-10,2021-01-16,2,2021,Cryptococcosis,2
1919,2021-01-10,2021-01-16,2,2021,Extrapulmonary NTM,1
1920,2021-01-10,2021-01-16,2,2021,Giardiasis,3
1921,2021-01-10,2021-01-16,2,2021,HIV,1
1922,2021-01-10,2021-01-16,2,2021,Salmonellosis,5
1923,2021-01-10,2021-01-16,2,2021,Tuberculosis,2
1924,2021-01-17,2021-01-23,3,2021,Congenital syphilis,0
1925,2021-01-17,2021-01-23,3,2021,Hepatitis B (acute),0
1926,2021-01-17,2021-01-23,3,2021,Hepatitis B (chronic),12
1927,2021-01-17,2021-01-23,3,2021,Hepatitis C (acute),0
1928,2020-12-06,2020-12-12,50,2020,Haemophilus influenzae,0
1929,2020-12-06,2020-12-12,50,2020,Hepatitis B (chronic),7
1930,2020-12-06,2020-12-12,50,2020,Hepatitis C (acute),2
1931,2020-12-06,2020-12-12,50,2020,Legionellosis,2
1932,2020-12-06,2020-12-12,50,2020,Lyme disease,1
1933,2020-12-06,2020-12-12,50,2020,West Nile virus,0
1934,2020-12-13,2020-12-19,51,2020,Coccidioidomycosis,2
1935,2020-12-13,2020-12-19,51,2020,CRE,4
1936,2020-12-13,2020-12-19,51,2020,Cryptococcosis,0
1937,2020-12-13,2020-12-19,51,2020,Extrapulmonary NTM,0
1938,2020-12-13,2020-12-19,51,2020,Giardiasis,3
1939,2020-12-13,2020-12-19,51,2020,HIV,2
1940,2020-12-13,2020-12-19,51,2020,Salmonellosis,3
1941,2020-12-13,2020-12-19,51,2020,Tuberculosis,4
1942,2020-12-20,2020-12-26,52,2020,Congenital syphilis,1
1943,2020-12-20,2020-12-26,52,2020,Hepatitis B (acute),1
1944,2020-12-20,2020-12-26,52,2020,Hepatitis B (chronic),5
1945,2020-12-20,2020-12-26,52,2020,Hepatitis C (acute),1
1946,2020-12-20,2020-12-26,52,2020,HUS,0
1947,2020-12-20,2020-12-26,52,2020,Legionellosis,4
1948,2020-12-20,2020-12-26,52,2020,Lyme disease,1
1949,2020-12-20,2020-12-26,52,2020,Meningococcal disease,0
1950,2020-12-20,2020-12-26,52,2020,Mpox,0
1951,2020-12-20,2020-12-26,52,2020,Pertussis,0
1952,2020-12-20,2020-12-26,52,2020,Shigellosis,2
1953,2020-12-20,2020-12-26,52,2020,West Nile virus,0
1954,2020-12-27,2021-01-02,53,2020,Campylobacteriosis,16
1955,2020-12-27,2021-01-02,53,2020,Chlamydia,251
1956,2020-12-27,2021-01-02,53,2020,Early syphilis,12
1957,2020-12-27,2021-01-02,53,2020,Extrapulmonary NTM,0
1958,2020-12-27,2021-01-02,53,2020,Hepatitis C (chronic),35
1959,2020-12-27,2021-01-02,53,2020,HIV,5
1960,2020-12-27,2021-01-02,53,2020,Malaria,1
1961,2020-12-27,2021-01-02,53,2020,Measles,0
1962,2021-01-03,2021-01-09,1,2021,Coccidioidomycosis,0
1963,2021-01-03,2021-01-09,1,2021,CRE,2
1964,2021-01-03,2021-01-09,1,2021,Cryptococcosis,1
1965,2021-01-03,2021-01-09,1,2021,Giardiasis,2
1966,2021-01-03,2021-01-09,1,2021,Hepatitis A,0
1967,2021-01-03,2021-01-09,1,2021,HIV,4
1968,2021-01-03,2021-01-09,1,2021,Mumps,0
1969,2021-01-03,2021-01-09,1,2021,Salmonellosis,4
1970,2021-01-03,2021-01-09,1,2021,Tuberculosis,1
1971,2021-01-03,2021-01-09,1,2021,Yersiniosis,0
1972,2021-01-10,2021-01-16,2,2021,Adult lead poisoning,0
1973,2021-01-10,2021-01-16,2,2021,Cryptosporidiosis,3
1974,2021-01-10,2021-01-16,2,2021,Hepatitis B (acute),0
1975,2021-01-10,2021-01-16,2,2021,Hepatitis B (chronic),7
1976,2021-01-10,2021-01-16,2,2021,Hepatitis C (acute),1
1977,2021-01-10,2021-01-16,2,2021,Legionellosis,1
1978,2021-01-10,2021-01-16,2,2021,Lyme disease,1
1979,2021-01-17,2021-01-23,3,2021,HUS,0
1980,2021-01-17,2021-01-23,3,2021,Listeriosis,0
1981,2021-01-17,2021-01-23,3,2021,Meningococcal disease,0
1982,2021-01-17,2021-01-23,3,2021,Mpox,0
1983,2021-01-17,2021-01-23,3,2021,Pertussis,0
1984,2021-01-17,2021-01-23,3,2021,Pesticide Poisoning,1
1985,2021-01-17,2021-01-23,3,2021,Shigellosis,2
1986,2021-01-24,2021-01-30,4,2021,Campylobacteriosis,15
1987,2021-01-24,2021-01-30,4,2021,Chlamydia,273
1988,2021-01-24,2021-01-30,4,2021,Early syphilis,21
1989,2021-01-24,2021-01-30,4,2021,Extrapulmonary NTM,0
1990,2021-01-24,2021-01-30,4,2021,Haemophilus influenzae,0
1991,2021-01-24,2021-01-30,4,2021,Hepatitis C (chronic),79
1992,2021-01-24,2021-01-30,4,2021,Malaria,0
1993,2021-01-24,2021-01-30,4,2021,Measles,0
1994,2021-01-31,2021-02-06,5,2021,Coccidioidomycosis,0
1995,2021-01-31,2021-02-06,5,2021,Congenital syphilis,1
1996,2021-01-31,2021-02-06,5,2021,E. coli (STEC),2
1997,2021-01-31,2021-02-06,5,2021,Gonorrhea,133
1998,2021-01-31,2021-02-06,5,2021,Hepatitis A,0
1999,2021-01-31,2021-02-06,5,2021,Listeriosis,3
2000,2021-01-31,2021-02-06,5,2021,Mumps,0
2001,2021-01-31,2021-02-06,5,2021,Pesticide Poisoning,0
2002,2021-01-31,2021-02-06,5,2021,Vibriosis,0
2003,2021-01-31,2021-02-06,5,2021,Yersiniosis,0
2004,2021-02-07,2021-02-13,6,2021,Adult lead poisoning,0
2005,2021-02-07,2021-02-13,6,2021,Childhood lead poisoning,3
2006,2021-02-07,2021-02-13,6,2021,Cryptosporidiosis,3
2007,2021-02-07,2021-02-13,6,2021,Haemophilus influenzae,0
2008,2021-02-07,2021-02-13,6,2021,Hepatitis B (chronic),8
2009,2021-02-07,2021-02-13,6,2021,Hepatitis C (acute),0
2010,2021-02-07,2021-02-13,6,2021,Legionellosis,2
2011,2021-02-07,2021-02-13,6,2021,Lyme disease,2
2012,2021-02-07,2021-02-13,6,2021,West Nile virus,0
2013,2021-02-14,2021-02-20,7,2021,Coccidioidomycosis,2
2014,2021-02-14,2021-02-20,7,2021,CRE,1
2015,2021-02-14,2021-02-20,7,2021,Cryptococcosis,1
2016,2021-02-14,2021-02-20,7,2021,Extrapulmonary NTM,0
2017,2021-02-14,2021-02-20,7,2021,Giardiasis,5
2018,2021-02-14,2021-02-20,7,2021,HIV,2
2019,2021-02-14,2021-02-20,7,2021,Salmonellosis,3
2020,2021-02-14,2021-02-20,7,2021,Tuberculosis,2
2021,2021-02-21,2021-02-27,8,2021,Congenital syphilis,1
2022,2021-02-21,2021-02-27,8,2021,Hepatitis B (acute),0
2023,2021-02-21,2021-02-27,8,2021,Hepatitis B (chronic),6
2024,2021-02-21,2021-02-27,8,2021,Hepatitis C (acute),0
2025,2021-02-21,2021-02-27,8,2021,HUS,0
2026,2021-02-21,2021-02-27,8,2021,Legionellosis,0
2027,2021-02-21,2021-02-27,8,2021,Lyme disease,2
2028,2021-02-21,2021-02-27,8,2021,Meningococcal disease,1
